dataset,model,context_type,context_value,n_samples,accuracy,macro_f1
race_2025_clean_laps_top5,hybrid_cnn_tabular,event_name,United States Grand Prix,194,0.9896907216494846,0.9916630481980026
race_2025_clean_laps_top5,lstm,event_name,Abu Dhabi Grand Prix,270,0.32592592592592595,0.20268122088234933
race_2025_clean_laps_top5,lstm,event_name,Austrian Grand Prix,184,0.30434782608695654,0.12005547850208045
race_2025_clean_laps_top5,lstm,event_name,Azerbaijan Grand Prix,204,0.5637254901960784,0.5447625829837179
race_2025_clean_laps_top5,lstm,event_name,Bahrain Grand Prix,230,0.2782608695652174,0.1699409927108643
race_2025_clean_laps_top5,lstm,event_name,Chinese Grand Prix,251,0.199203187250996,0.07168458781362007
race_2025_clean_laps_top5,lstm,event_name,Dutch Grand Prix,220,0.33636363636363636,0.24197575757575757
race_2025_clean_laps_top5,lstm,event_name,Emilia Romagna Grand Prix,220,0.2636363636363636,0.1367270288397049
race_2025_clean_laps_top5,lstm,event_name,Hungarian Grand Prix,319,0.664576802507837,0.6202198446217786
race_2025_clean_laps_top5,lstm,event_name,Italian Grand Prix,243,0.38271604938271603,0.27164010065502603
race_2025_clean_laps_top5,lstm,event_name,Japanese Grand Prix,249,0.28112449799196787,0.17681185451279752
race_2025_clean_laps_top5,lstm,event_name,Las Vegas Grand Prix,211,0.3791469194312796,0.2630622457428808
race_2025_clean_laps_top5,lstm,event_name,Mexico City Grand Prix,307,0.3257328990228013,0.23796736123143428
race_2025_clean_laps_top5,lstm,event_name,Monaco Grand Prix,289,0.45674740484429066,0.3725826792255364
race_2025_clean_laps_top5,lstm,event_name,Qatar Grand Prix,249,0.3333333333333333,0.20747206349528552
race_2025_clean_laps_top5,lstm,event_name,Saudi Arabian Grand Prix,225,0.24888888888888888,0.14696042431660547
race_2025_clean_laps_top5,lstm,event_name,Spanish Grand Prix,271,0.24354243542435425,0.14081632653061224
race_2025_clean_laps_top5,lstm,event_name,São Paulo Grand Prix,198,0.4797979797979798,0.43196235496964686
race_2025_clean_laps_top5,lstm,event_name,United States Grand Prix,194,0.25257731958762886,0.08783131509865356
