experiment,model,importance_type,feature,importance
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__last_full_throttle_frac_pos,0.15121554385919142
experiment_b_without_time_features,logistic_regression,mean_abs_coef,cat__Compound_HARD,0.1317232591285555
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__TyreLife,0.09495508343197905
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__first_full_throttle_frac_pos,0.02004439029363623
experiment_b_without_time_features,random_forest,feature_importance,num__throttle_zero_frac,0.04294102533249699
experiment_b_without_time_features,random_forest,feature_importance,num__rpm_max,0.039272472080033774
experiment_b_without_time_features,random_forest,feature_importance,num__throttle_mid_frac,0.0288205627406192
experiment_b_without_time_features,random_forest,feature_importance,num__throttle_diff_std,0.02547915089169025
experiment_b_without_time_features,random_forest,feature_importance,num__rpm_median,0.023910163819505056
experiment_b_without_time_features,random_forest,feature_importance,num__throttle_median,0.023835230468753105
experiment_b_without_time_features,random_forest,feature_importance,num__brake_diff_std,0.02321008887971992
experiment_b_without_time_features,random_forest,feature_importance,num__rpm_diff_mean,0.02315321608411348
experiment_b_without_time_features,random_forest,feature_importance,num__throttle_std,0.02310978730227602
experiment_b_without_time_features,random_forest,feature_importance,num__brake_diff_abs_mean,0.022331046154276397
experiment_b_without_time_features,random_forest,feature_importance,num__brake_active_frac,0.021984888671604634
experiment_b_without_time_features,random_forest,feature_importance,num__brake_std,0.02196764250647276
experiment_b_without_time_features,random_forest,feature_importance,num__brake_mean,0.021838896047790463
experiment_b_without_time_features,random_forest,feature_importance,num__gear_mean,0.02158469771152502
experiment_b_without_time_features,random_forest,feature_importance,num__gear_change_count,0.021475131084640567
experiment_b_without_time_features,random_forest,feature_importance,num__rpm_diff_abs_max,0.021378017353807243
experiment_b_without_time_features,random_forest,feature_importance,num__throttle_low_frac,0.020117412280585847
experiment_b_without_time_features,random_forest,feature_importance,num__throttle_diff_abs_mean,0.019065782383006456
experiment_b_without_time_features,random_forest,feature_importance,num__rpm_min,0.018935314764596544
experiment_b_without_time_features,random_forest,feature_importance,num__rpm_diff_std,0.018896561304664022
experiment_b_without_time_features,random_forest,feature_importance,num__speed_diff_abs_max,0.01874274008091763
experiment_b_without_time_features,random_forest,feature_importance,num__rpm_diff_abs_mean,0.01862860946560607
experiment_b_without_time_features,random_forest,feature_importance,num__speed_diff_mean,0.018327814541559954
experiment_b_without_time_features,random_forest,feature_importance,num__rpm_mean,0.018107936893031785
experiment_b_without_time_features,random_forest,feature_importance,num__throttle_full_frac,0.017948571109970838
experiment_b_without_time_features,random_forest,feature_importance,num__throttle_p75,0.017854526913445426
