driver,feature,coef,abs_coef
LEC,num__throttle_median,0.08009006547069082,0.08009006547069082
LEC,num__throttle_diff_abs_max,-0.0727261489207471,0.0727261489207471
LEC,num__rpm_diff_abs_max,-0.06064796274153124,0.06064796274153124
LEC,num__throttle_mid_frac,0.05545349672393811,0.05545349672393811
LEC,num__speed_mean,0.0,0.0
LEC,num__speed_std,0.0,0.0
LEC,num__speed_min,0.0,0.0
LEC,num__speed_max,0.0,0.0
LEC,num__speed_median,0.0,0.0
LEC,num__speed_range,0.0,0.0
LEC,num__throttle_mean,0.0,0.0
LEC,num__throttle_std,0.0,0.0
LEC,num__brake_mean,0.0,0.0
LEC,num__brake_std,0.0,0.0
LEC,num__brake_max,0.0,0.0
LEC,num__rpm_mean,0.0,0.0
LEC,num__rpm_std,0.0,0.0
LEC,num__rpm_min,0.0,0.0
LEC,num__rpm_max,0.0,0.0
LEC,num__rpm_median,0.0,0.0
LEC,num__gear_mean,0.0,0.0
LEC,num__gear_std,0.0,0.0
LEC,num__gear_min,0.0,0.0
LEC,num__gear_max,0.0,0.0
LEC,num__gear_median,0.0,0.0
LEC,num__throttle_low_frac,0.0,0.0
LEC,num__throttle_high_frac,0.0,0.0
LEC,num__throttle_full_frac,0.0,0.0
LEC,num__brake_active_frac,0.0,0.0
LEC,num__gear_change_count,0.0,0.0
LEC,num__brake_on_count,0.0,0.0
LEC,num__speed_diff_mean,0.0,0.0
LEC,num__speed_diff_std,0.0,0.0
LEC,num__throttle_diff_std,0.0,0.0
LEC,num__throttle_diff_abs_mean,0.0,0.0
LEC,num__brake_diff_std,0.0,0.0
LEC,num__brake_diff_abs_mean,0.0,0.0
LEC,num__brake_diff_abs_max,0.0,0.0
LEC,num__rpm_diff_std,0.0,0.0
LEC,num__rpm_diff_abs_mean,0.0,0.0
LEC,num__speed_cv,0.0,0.0
LEC,num__rpm_cv,0.0,0.0
LEC,num__speed_p10,0.0,0.0
LEC,num__speed_p75,0.0,0.0
LEC,num__speed_p90,0.0,0.0
LEC,num__throttle_p25,0.0,0.0
LEC,num__throttle_p90,0.0,0.0
LEC,num__brake_p90,0.0,0.0
OCO,num__throttle_diff_std,-2.0132369020976775,2.0132369020976775
OCO,num__gear_std,-1.616851998523826,1.616851998523826
OCO,num__rpm_median,-1.5096118174350237,1.5096118174350237
OCO,num__throttle_mid_frac,-1.4747437628078537,1.4747437628078537
OCO,num__brake_diff_abs_mean,1.292989329091096,1.292989329091096
OCO,num__throttle_diff_abs_mean,-1.2107785392698538,1.2107785392698538
OCO,num__rpm_max,-1.0662730101216191,1.0662730101216191
OCO,num__brake_diff_std,0.9918838913687634,0.9918838913687634
OCO,num__throttle_high_frac,0.9859219894924657,0.9859219894924657
OCO,num__speed_p75,0.768069263792635,0.768069263792635
OCO,num__rpm_diff_std,-0.7575780607058028,0.7575780607058028
OCO,num__brake_mean,0.7301647580530999,0.7301647580530999
OCO,num__brake_active_frac,0.7301647580530999,0.7301647580530999
OCO,num__speed_min,-0.30616089206652786,0.30616089206652786
OCO,num__speed_diff_abs_max,0.28983811486543787,0.28983811486543787
