subset_name,config_name,config_type,n_features,fold,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,accuracy_gap,macro_f1_gap
distinctive_top5,no_brake,leave_one_out,58,4,0.9954337899543378,0.9954545454545455,0.9954539584140514,0.8333333333333334,0.8345454545454546,0.8308714473931866,0.16210045662100447,0.16458251102086474
distinctive_top5,no_brake,leave_one_out,58,5,0.9863013698630136,0.9863636363636363,0.9862573410778992,0.8518518518518519,0.850909090909091,0.8510822510822511,0.13444951801116178,0.1351750899956481
distinctive_top5,no_powertrain,leave_one_out,52,1,0.963302752293578,0.9631078224101479,0.9630987644261856,0.7636363636363637,0.7636363636363637,0.758462105845473,0.1996663886572143,0.20463665858071256
distinctive_top5,no_powertrain,leave_one_out,52,2,0.9403669724770642,0.9397463002114165,0.9397968866650256,0.8181818181818182,0.8181818181818181,0.820720873329569,0.12218515429524601,0.11907601333545659
distinctive_top5,no_powertrain,leave_one_out,52,3,0.9724770642201835,0.9723044397463003,0.9725371661217691,0.8363636363636363,0.8363636363636363,0.837056277056277,0.13611342785654723,0.13548088906549205
distinctive_top5,no_powertrain,leave_one_out,52,4,0.9771689497716894,0.977061310782241,0.977152367578331,0.7962962962962963,0.7927272727272727,0.7874523264683446,0.18087265347539316,0.1897000411099864
distinctive_top5,no_powertrain,leave_one_out,52,5,0.9497716894977168,0.9497885835095137,0.9502438247360587,0.8333333333333334,0.8327272727272728,0.8319969885187277,0.11643835616438347,0.11824683621733101
distinctive_top5,no_phase,leave_one_out,60,1,0.9862385321100917,0.9861522198731502,0.9861465991066922,0.8909090909090909,0.890909090909091,0.8906719367588932,0.09532944120100084,0.095474662347799
distinctive_top5,no_phase,leave_one_out,60,2,0.9908256880733946,0.9906976744186047,0.9906920536521466,0.8545454545454545,0.8545454545454545,0.8593872793872792,0.13628023352794005,0.13130477426486742
distinctive_top5,no_phase,leave_one_out,60,3,0.9908256880733946,0.9908033826638478,0.9908027956233537,0.8727272727272727,0.8727272727272728,0.8756643356643355,0.11809841534612187,0.11513845995901817
distinctive_top5,no_phase,leave_one_out,60,4,0.9908675799086758,0.990909090909091,0.9908562572646261,0.8518518518518519,0.8527272727272728,0.8493070621217074,0.13901572805682394,0.14154919514291875
distinctive_top5,no_phase,leave_one_out,60,5,0.9863013698630136,0.9862579281183933,0.9862532299741602,0.8703703703703703,0.8690909090909091,0.8692640692640692,0.1159309994926433,0.11698916071009102
distinctive_top5,no_dynamics,leave_one_out,49,1,0.963302752293578,0.9631078224101479,0.9633144168167073,0.7272727272727273,0.7272727272727273,0.7325674132630655,0.2360300250208507,0.23074700355364175
distinctive_top5,no_dynamics,leave_one_out,49,2,0.9541284403669725,0.9538054968287526,0.9541327326238639,0.8545454545454545,0.8545454545454545,0.8550988142292489,0.09958298582151803,0.09903391839461495
distinctive_top5,no_dynamics,leave_one_out,49,3,0.9357798165137615,0.9354122621564482,0.9357125836080868,0.7818181818181819,0.7818181818181819,0.7840892440892441,0.15396163469557966,0.15162333951884277
distinctive_top5,no_dynamics,leave_one_out,49,4,0.9269406392694064,0.9265327695560254,0.9268650622299379,0.7407407407407407,0.7381818181818183,0.7409514900428886,0.1861998985286657,0.1859135721870493
distinctive_top5,no_dynamics,leave_one_out,49,5,0.9497716894977168,0.9497885835095137,0.9502090541596507,0.7592592592592593,0.7527272727272727,0.7438170704424575,0.19051243023845754,0.20639198371719325
distinctive_top6,full_model,full,64,1,0.9846743295019157,0.9846723044397464,0.9847138515414154,0.803030303030303,0.8030303030303031,0.80331088664422,0.1816440264716127,0.18140296489719543
distinctive_top6,full_model,full,64,2,0.9808429118773946,0.9807963354474983,0.9808804747952822,0.8333333333333334,0.8333333333333334,0.830607315389924,0.14750957854406122,0.15027315940535813
distinctive_top6,full_model,full,64,3,0.9656488549618321,0.965644820295983,0.965936622066827,0.8615384615384616,0.8621212121212122,0.8636891839409001,0.10411039342337047,0.10224743812592685
distinctive_top6,full_model,full,64,4,0.9961832061068703,0.9962121212121212,0.996168582375479,0.7692307692307693,0.7712121212121211,0.7689661503600123,0.226952436876101,0.22720243201546675
distinctive_top6,full_model,full,64,5,0.9732824427480916,0.9732205778717407,0.9732606899855355,0.8923076923076924,0.890909090909091,0.890675238821692,0.08097475044039926,0.08258545116384353
distinctive_top6,only_context,family_only,3,1,0.19540229885057472,0.1948555320648344,0.1643325154176489,0.12121212121212122,0.12121212121212122,0.06054351565187479,0.07419017763845351,0.1037889997657741
distinctive_top6,only_context,family_only,3,2,0.18007662835249041,0.18049682875264272,0.11237782069349478,0.16666666666666666,0.16666666666666666,0.11216329966329967,0.013409961685823757,0.0002145210301951056
distinctive_top6,only_context,family_only,3,3,0.17557251908396945,0.17521141649048624,0.15215207886111248,0.12307692307692308,0.1303030303030303,0.07553854875283446,0.05249559600704637,0.07661353010827802
distinctive_top6,only_context,family_only,3,4,0.17557251908396945,0.17556377730796335,0.15427227113540354,0.16923076923076924,0.17424242424242423,0.11426864652671105,0.0063417498532002126,0.04000362460869249
distinctive_top6,only_context,family_only,3,5,0.16793893129770993,0.1689570119802678,0.12692342379842378,0.16923076923076924,0.16666666666666666,0.10651629072681705,-0.0012918379330593144,0.02040713307160673
distinctive_top6,only_speed,family_only,11,1,0.23371647509578544,0.23343904157857645,0.21857026539130664,0.19696969696969696,0.196969696969697,0.15534491308485118,0.03674677812608848,0.06322535230645546
distinctive_top6,only_speed,family_only,11,2,0.23371647509578544,0.2331747709654686,0.23035671515189052,0.22727272727272727,0.22727272727272727,0.19503328213005633,0.006443747823058177,0.03532343302183419
distinctive_top6,only_speed,family_only,11,3,0.22900763358778625,0.22859408033826636,0.22160456981483265,0.23076923076923078,0.23030303030303031,0.22752421010934945,-0.0017615971814445297,-0.005919640294516804
distinctive_top6,only_speed,family_only,11,4,0.26717557251908397,0.2667371388301621,0.26373905017561183,0.2153846153846154,0.21515151515151518,0.21691311612364242,0.051790957134468574,0.046825934051969414
distinctive_top6,only_speed,family_only,11,5,0.24427480916030533,0.2436575052854123,0.23930100773259225,0.24615384615384617,0.24393939393939393,0.24704865612306628,-0.0018790369935408335,-0.007747648390474038
distinctive_top6,only_throttle,family_only,13,1,0.5862068965517241,0.5850070472163496,0.5734571945821383,0.5606060606060606,0.5606060606060606,0.5410859893618515,0.025600835945663536,0.0323712052202868
distinctive_top6,only_throttle,family_only,13,2,0.6053639846743295,0.6048273431994362,0.5954642258873831,0.5757575757575758,0.5757575757575758,0.5475241155548061,0.0296064089167537,0.04794011033257706
distinctive_top6,only_throttle,family_only,13,3,0.5877862595419847,0.5867688513037349,0.5790367441268254,0.5384615384615384,0.5393939393939394,0.519331494846369,0.04932472108044628,0.059705249280456396
distinctive_top6,only_throttle,family_only,13,4,0.6145038167938931,0.6147815362931642,0.6038513331537839,0.5384615384615384,0.5303030303030304,0.5110746875239629,0.07604227833235466,0.09277664562982102
distinctive_top6,only_throttle,family_only,13,5,0.5992366412213741,0.5981324876673714,0.5861602049621187,0.5692307692307692,0.5712121212121212,0.5632379697597089,0.030005871990604893,0.02292223520240988
distinctive_top6,only_brake,family_only,6,1,0.2720306513409962,0.27202255109231854,0.25235545309330365,0.3181818181818182,0.3181818181818182,0.30230833980833977,-0.04615116684082199,-0.049952886715036116
distinctive_top6,only_brake,family_only,6,2,0.2720306513409962,0.27219873150105706,0.2594104899205665,0.22727272727272727,0.2272727272727273,0.19269619269619268,0.04475792406826892,0.0667142972243738
distinctive_top6,only_brake,family_only,6,3,0.2900763358778626,0.29008104298801973,0.2812514630805156,0.23076923076923078,0.23333333333333336,0.2107083949189212,0.0593071051086318,0.07054306816159436
distinctive_top6,only_brake,family_only,6,4,0.2786259541984733,0.27810077519379844,0.26371628102333483,0.24615384615384617,0.2515151515151515,0.2221019721019721,0.032472108044627135,0.041614308921362725
distinctive_top6,only_brake,family_only,6,5,0.26717557251908397,0.2678823114869627,0.24676510119058773,0.2923076923076923,0.2878787878787879,0.2713243278460669,-0.025132119788608354,-0.024559226655479188
distinctive_top6,only_powertrain,family_only,12,1,0.4942528735632184,0.4955954897815363,0.48647462867968483,0.4090909090909091,0.409090909090909,0.40039611804317693,0.08516196447230928,0.0860785106365079
distinctive_top6,only_powertrain,family_only,12,2,0.5057471264367817,0.507047216349542,0.4962728394081659,0.42424242424242425,0.42424242424242414,0.41631717634005955,0.0815047021943574,0.07995566306810636
